Time,x_d,y_d,theta_d,delta_,v_,ddelta_dt
7.0558799,2.4891928,-1.3039172,-1.4337446,-0.7059246,0.4677518,0.0947072
7.1059216,2.4914897,-1.321614,-1.4496765,-0.7008433,0.4674452,0.1016269
7.1559633,2.4935129,-1.3394117,-1.465499,-0.6954246,0.4671256,0.1083737
7.206005,2.4952623,-1.3573099,-1.481205,-0.6896779,0.4667986,0.1149329
7.2560467,2.4967375,-1.3753082,-1.496788,-0.6836134,0.4664699,0.1212904
7.3060884,2.4979385,-1.3934061,-1.5122416,-0.6772418,0.4661451,0.1274324
7.3561301,2.4988652,-1.4116029,-1.5275599,-0.6705745,0.4658301,0.133346
7.4061718,2.4995173,-1.4298983,-1.5427372,-0.6636235,0.4655306,0.1390187
7.4562135,2.4998949,-1.4482918,-1.5577682,-0.6564016,0.4652525,0.1444387
7.5062552,2.4999979,-1.4667828,-1.5726479,-0.6489218,0.4650015,0.1495954
7.5562969,2.4998262,-1.4853708,-1.5873717,-0.6411979,0.464783,0.1544787
7.6063386,2.49938,-1.5040553,-1.6019354,-0.6332439,0.4646025,0.1590797
7.6563803,2.4986592,-1.5228359,-1.6163351,-0.6250744,0.4644652,0.1633906
7.706422,2.497664,-1.5417119,-1.6305671,-0.6167042,0.4643761,0.1674047
7.7564637,2.4963944,-1.5606829,-1.6446283,-0.6081483,0.46434,0.1711164
7.8065054,2.4948506,-1.5797483,-1.6585158,-0.5994223,0.4643613,0.1745213
7.8565471,2.4930328,-1.5989077,-1.672227,-0.5905414,0.4644443,0.1776165
7.9065888,2.4909411,-1.6181604,-1.6857597,-0.5815214,0.4645928,0.1804001
7.9566305,2.4885758,-1.637506,-1.6991119,-0.5723779,0.4648103,0.1828718
8.0066722,2.4859371,-1.656944,-1.7122819,-0.5631262,0.4651002,0.1850324
8.0567139,2.4830254,-1.6764738,-1.7252686,-0.553782,0.4654653,0.1868839
8.1067556,2.4798409,-1.6960948,-1.7380707,-0.5443605,0.4659082,0.1884298
8.1567973,2.4763841,-1.7158066,-1.7506875,-0.5348768,0.466431,0.1896747
